,id,nome_escola,tipo_escola,endereço,número,bairro,subprefeitura,lat,lon,quantidade
84,256,PARAIBA,EM,ESTRADA MARECHAL ALENCASTRO,4.035,ANCHIETA,ZONA NORTE,-22.82636,-43.40288,345
85,091,PIAUI,EM,AVENIDA BRASIL,23.364,GUADALUPE,ZONA NORTE,-22.84542,-43.37852,0
86,248,ASPIRANTE CARLOS ALFREDO,EM,RUA IBIA,105,TURIACU,ZONA NORTE,-22.86085,-43.34455,513
87,623,CECILIA MEIRELES,EM,RUA SD. SERVINO MENGARDA ,260,VILA KOSMOS,ZONA NORTE,-22.84944,-43.30379,416
88,603,ESPIRITO SANTO,EM,RUA HERCULANO PENA ,S/N,CAVALCANTI,ZONA NORTE,-22.8743,-43.31472,352
89,673,GRECIA,EM,AVENIDA BRAZ DE PINA ,1614,VILA DA PENHA,ZONA NORTE,-22.83783,-43.31254,393
90,520,BARONESA DE SAAVEDRA,EM,RUA MAL. BIBIANO COSTALAT ,483-639,REALENGO,GRANDE BANGU,-22.87185,-43.43243,136
91,520,BARONESA DE SAAVEDRA,EM,RUA MAL. BIBIANO COSTALAT ,483-639,REALENGO,GRANDE BANGU,-22.87185,-43.43243,136
92,412,MOZART LAGO,EM,RUA JOSE CARVALHO SALGADO,S/N,OSWALDO CRUZ,,-22.87221,-43.35033,0
93,031,PARA,EM,AVENIDA DOS ITALIANOS,500,ROCHA MIRANDA,ZONA NORTE,-22.85196,-43.34949,115
94,514,PARANA,EM,AVENIDA ERNANI CARDOSO,316,CASCADURA,ZONA NORTE,-22.88241,-43.33811,534
95,023,CERVANTES,EM,RUA ABILIO DOS SANTOS,170,BENTO RIBEIRO,ZONA NORTE,-22.86459,-43.36595,342
96,415,LUIZ DE CAMOES,EM,ESTRUA LUIZDE CAMOES ,1446,COLEGIO,ZONA NORTE,-22.84604,-43.33867,152
97,016,JOAO BATISTA DOS SANTOS,CIEP,RUA EDGAR WERNECK ,1.565,CIDADE DE DEUS,JACAREPAGUÁ,-22.94711,-43.35974,430
98,570,HELENA LOPES ABRANCHES,EM,RUA ACAPORI,495,GARDENIA AZUL,JACAREPAGUÁ,-22.96072,-43.35344,466
99,528,MARGARET MEE,CIEP,RUA MINISTRO ALIOMAR BALEEIRO,S/N,RECREIO,,-23.01981,-43.48172,51
100,414,CLAUDIO BESSERMAN VIANNA - BUSSUNDA,EM,ESTRADA DE JACAREPAGUA,3327,RIO DAS PEDRAS,,-22.97336,-43.32916,26
101,690,FINLANDIA,EM,RUA,IGARAPE-ACU,CAMORIM,BARRA DA TIJUCA,-22.97199,-43.41011,94
102,202,PROFESSOR TEOFILO MOREIRA DA COSTA,EM,RUA ESPERANCA,387,VARGEM GRANDE,BARRA DA TIJUCA,-22.98173,-43.49164,121
103,550,25 DE ABRIL,EM,RUA MAMORE,78,FREGUESIA JPA,,-22.93816,-43.34258,128
104,211,FRANCIS HIME,EM,ESTRADA PAU DA FOME,196,TAQUARA,JACAREPAGUÁ,-22.91883,-43.41625,520
105,206,HONDURAS,EM,PRACA BARAO DA TAQUARA,12,PRACA SECA,JACAREPAGUÁ,-22.89693,-43.35267,392
106,206,HONDURAS,EM,PRACA BARAO DA TAQUARA,12,PRACA SECA,JACAREPAGUÁ,-22896931.0,-43352667.0,392
107,492,MENEZES CORTES,EM,PRACA JOSE ALVES DE AZEVEDO,43,FREGUESIA JPA,,-22.94266,-43.33897,0
108,466,NELSON RODRIGUES,EM,RUA FREI LUIZ ALEVATO,S/N,TAQUARA,JACAREPAGUÁ,-22.93533,-43.36973,279
109,636,PABLO NERUDA,EM,ESTRADA DO MAPUA  S/N RUA,3,TAQUARA,JACAREPAGUÁ,-22.92688,-43.38788,161
110,527,VIRGILIO VARZEA,EM,RUA JOSE SILVA,155,PECHINCHA,JACAREPAGUÁ,-22.93253,-43.35113,179
111,586,ANTONIO EVARISTO DE MORAES,CIEP,AVENIDA DE SANTA CRUZ,S/N,SENADOR CAMARA,GRANDE BANGU,-22.88179,-43.48733,194
112,080,JOSE MAURO DE VASCONCELOS,EM,RUA MARLIERIA,S/N,BANGU,GRANDE BANGU,-22.85044,-43.46686,599
113,398,LEONARDO DA VINCI,EM,RUA RENATO REBECCHI,S/N,BANGU,GRANDE BANGU,-22.89253,-43.47295,315
114,175,NACOES UNIDAS,EM,RUA DOS LIMADORES,S/N,BANGU,GRANDE BANGU,-22.88815,-43.47629,435
115,308,THOMAS JEFFERSON,CIEP,ESTRADA DO ENGENHO NOVO,S/N,REALENGO,GRANDE BANGU,-22.86652,-43.42515,400
116,576,CORYNTHO DA FONSECA,EM,RUA URUQUE,S/N,REALENGO,GRANDE BANGU,-22.85894,-43.44387,148
117,495,ENGENHEIRO LAFAYETTE DE ANDRADA,EM,AVENIDA DUQUE DE CAXIAS ,170,DEODORO,GRANDE BANGU,-22.85609,-43.38661,128
118,641,LAURO MULLER,EM,RUA ROSA DE ALMEIDA ,113,PADRE MIGUEL,GRANDE BANGU,-22.88207,-43.44644,269
119,689,MOACIR PADILHA,EM,RUA GENERAL GOMES DE CASTRO,30,PADRE MIGUEL,GRANDE BANGU,-22.86877,-43.45065,571
120,171,PADRE LEONEL FRANCA,EM,AVENIDA CANAL,S/N,REALENGO,GRANDE BANGU,-22.88346,-43.42945,235
121,477,PAULO MARANHAO,EM,RUA DO GOVERNO,866,REALENGO,GRANDE BANGU,-22.89299,-43.44122,187
